Round,Selected Prices,Buyer Valuations,Purchases,Rewards,Revenue,Remaining Inventory
40,"{0: 0.6, 1: 0.5, 2: 0.5, 3: 0.2, 4: 0.6, 5: 0.5, 6: 0.6, 7: 0.3, 8: 0.2, 9: 0.6}","{0: 0.15268763805068994, 1: 0.12165843055619469, 2: 0.2219191734821929, 3: 0.28303610375443994, 4: 0.3340463193296643, 5: 0.27440268150607267, 6: 0.3638981955238695, 7: 0.2252318210947814, 8: 0.22083724779798924, 9: 0.3149984605811371}","{0: False, 1: False, 2: False, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.2, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.2, 9: 0.0}",0.4,222
41,"{0: 0.4, 1: 0.2, 2: 0.3, 3: 0.6, 4: 0.4, 5: 0.5, 6: 0.4, 7: 0.5, 8: 0.4, 9: 0.3}","{0: 0.2256365998192763, 1: 0.1365254176233194, 2: 0.24806770605100611, 3: 0.19992641840273512, 4: 0.31125970627081195, 5: 0.30873217653548474, 6: 0.25603446031560684, 7: 0.28996128916647224, 8: 0.27532014434019153, 9: 0.33777305097231286}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.3}",0.3,221
42,"{0: 0.4, 1: 0.5, 2: 0.3, 3: 0.2, 4: 0.6, 5: 0.6, 6: 0.2, 7: 0.5, 8: 0.3, 9: 0.6}","{0: 0.14235515281502015, 1: 0.2274905284150116, 2: 0.18642206922781945, 3: 0.18393805604064636, 4: 0.22887692716335772, 5: 0.19311307654743898, 6: 0.22783947490837067, 7: 0.20627479305360943, 8: 0.37505169183619336, 9: 0.2892253602962824}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.2, 7: 0.0, 8: 0.3, 9: 0.0}",0.5,219
43,"{0: 0.2, 1: 0.3, 2: 0.4, 3: 0.3, 4: 0.3, 5: 0.3, 6: 0.6, 7: 0.6, 8: 0.4, 9: 0.3}","{0: 0.09316531842788137, 1: 0.08143138278947155, 2: 0.0805807676801947, 3: 0.1269190450418699, 4: 0.1386675579249067, 5: 0.07884857742485783, 6: 0.08116418515599302, 7: 0.10078397471348761, 8: 0.004021963717133342, 9: 0.04793993122682777}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,219
44,"{0: 0.4, 1: 0.3, 2: 0.6, 3: 0.4, 4: 0.2, 5: 0.4, 6: 0.6, 7: 0.3, 8: 0.6, 9: 0.4}","{0: 0.22259143613966487, 1: 0.135688084623704, 2: 0.1847645708912335, 3: 0.1792960666025442, 4: 0.32547443543505156, 5: 0.23530597672094078, 6: 0.18072818771209587, 7: 0.14714388139303516, 8: 0.12239542354710008, 9: 0.22068775749026212}","{0: False, 1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.2, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.2,218
45,"{0: 0.5, 1: 0.6, 2: 0.5, 3: 0.5, 4: 0.5, 5: 0.5, 6: 0.5, 7: 0.5, 8: 0.5, 9: 0.2}","{0: 0.0, 1: 0.020847518273431336, 2: 0.0018975076988146378, 3: 0.14313073502713936, 4: 0.10565438651496034, 5: 0.06397251199563367, 6: 0.14116709639994257, 7: 0.0738370502317989, 8: 0.0297031701769815, 9: 0.1517223295008543}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,218
46,"{0: 0.5, 1: 0.2, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.2, 6: 0.3, 7: 0.2, 8: 0.5, 9: 0.5}","{0: 0.0653560088166143, 1: 0.11421351132503099, 2: 0.08646166125624785, 3: 0.06761471607354318, 4: 0.18957570869461632, 5: 0.24524979203781508, 6: 0.08636271001962577, 7: 0.19095167924138567, 8: 0.13678321764704005, 9: 0.1514712056111709}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.2, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.2,217
47,"{0: 0.2, 1: 0.4, 2: 0.3, 3: 0.2, 4: 0.5, 5: 0.6, 6: 0.3, 7: 0.3, 8: 0.3, 9: 0.4}","{0: 0.06291976838580927, 1: 0.11444090531536365, 2: 0.07636283514589264, 3: 0.13732869930375868, 4: 0.1271894695906321, 5: 0.12364948976809069, 6: 0.09611422605765355, 7: 0.11854935967963902, 8: 0.19105300454766566, 9: 0.18422481968591914}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,217
48,"{0: 0.3, 1: 0.4, 2: 0.2, 3: 0.4, 4: 0.2, 5: 0.2, 6: 0.5, 7: 0.6, 8: 0.5, 9: 0.2}","{0: 0.14680933158233891, 1: 0.18729222338562693, 2: 0.07413275406712876, 3: 0.192651178648354, 4: 0.14023213198822473, 5: 0.2097734042713349, 6: 0.15096066392071097, 7: 0.10675966762077073, 8: 0.1235068016659984, 9: 0.21516832179938553}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.2, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.2}",0.4,215
49,"{0: 0.2, 1: 0.4, 2: 0.6, 3: 0.4, 4: 0.4, 5: 0.4, 6: 0.5, 7: 0.6, 8: 0.5, 9: 0.2}","{0: 0.2110118931010896, 1: 0.3023922208705293, 2: 0.20162146839356315, 3: 0.2956283551499959, 4: 0.2526164086695894, 5: 0.2948102868429548, 6: 0.34400689937423407, 7: 0.3128511711195663, 8: 0.3508789357476232, 9: 0.4346562269951871}","{0: True, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: True}","{0: 0.2, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.2}",0.4,213
50,"{0: 0.4, 1: 0.3, 2: 0.3, 3: 0.4, 4: 0.2, 5: 0.6, 6: 0.6, 7: 0.2, 8: 0.6, 9: 0.3}","{0: 0.33912816692957737, 1: 0.2573773053337905, 2: 0.3568719437027867, 3: 0.4189792525802687, 4: 0.2398376832813603, 5: 0.34009423225455204, 6: 0.425311688127454, 7: 0.40282489920662856, 8: 0.4480535489176947, 9: 0.41581608265368936}","{0: False, 1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.3, 3: 0.4, 4: 0.2, 5: 0.0, 6: 0.0, 7: 0.2, 8: 0.0, 9: 0.3}",1.4,208
51,"{0: 0.5, 1: 0.2, 2: 0.2, 3: 0.2, 4: 0.6, 5: 0.4, 6: 0.2, 7: 0.4, 8: 0.3, 9: 0.6}","{0: 0.3956797297293118, 1: 0.48426733855406817, 2: 0.46101392160830046, 3: 0.4875876565191619, 4: 0.4725283190814404, 5: 0.4911565001561011, 6: 0.5163235459409067, 7: 0.5800887064229646, 8: 0.5617315192351985, 9: 0.6196841300931942}","{0: False, 1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.0, 1: 0.2, 2: 0.2, 3: 0.2, 4: 0.0, 5: 0.4, 6: 0.2, 7: 0.4, 8: 0.3, 9: 0.6}",2.5,200
52,"{0: 0.3, 1: 0.4, 2: 0.4, 3: 0.5, 4: 0.2, 5: 0.5, 6: 0.2, 7: 0.6, 8: 0.3, 9: 0.6}","{0: 0.6061530310101556, 1: 0.5775509967767662, 2: 0.6851682470399428, 3: 0.6359591598272554, 4: 0.5857120792660274, 5: 0.6684693680256372, 6: 0.6565894650668019, 7: 0.7638087644626167, 8: 0.8135607351707468, 9: 0.9277170593716207}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.4, 2: 0.4, 3: 0.5, 4: 0.2, 5: 0.5, 6: 0.2, 7: 0.6, 8: 0.3, 9: 0.6}",4.0,190
53,"{0: 0.3, 1: 0.2, 2: 0.3, 3: 0.2, 4: 0.3, 5: 0.6, 6: 0.5, 7: 0.5, 8: 0.5, 9: 0.5}","{0: 0.5562832442226723, 1: 0.6402217869813518, 2: 0.5197079797308451, 3: 0.6735587103457297, 4: 0.7318344793937116, 5: 0.6508751446694332, 6: 0.8135053963778336, 7: 0.80475575185127, 8: 0.798579773040571, 9: 0.8824964992999873}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.2, 2: 0.3, 3: 0.2, 4: 0.3, 5: 0.6, 6: 0.5, 7: 0.5, 8: 0.5, 9: 0.5}",3.9,180
54,"{0: 0.6, 1: 0.4, 2: 0.4, 3: 0.3, 4: 0.2, 5: 0.4, 6: 0.4, 7: 0.5, 8: 0.3, 9: 0.5}","{0: 0.7189761009622812, 1: 0.7617317502026706, 2: 0.7657906085889392, 3: 0.7857043677710094, 4: 0.9091513097497588, 5: 0.8642682603054007, 6: 0.9500886961401113, 7: 0.9620654446191835, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.6, 1: 0.4, 2: 0.4, 3: 0.3, 4: 0.2, 5: 0.4, 6: 0.4, 7: 0.5, 8: 0.3, 9: 0.5}",4.0,170
55,"{0: 0.5, 1: 0.6, 2: 0.6, 3: 0.6, 4: 0.4, 5: 0.2, 6: 0.5, 7: 0.6, 8: 0.6, 9: 0.6}","{0: 0.6861857139882234, 1: 0.7377309279402344, 2: 0.74182462968973, 3: 0.8080862932489818, 4: 0.8887041216789723, 5: 0.9472266686329395, 6: 0.902807112365733, 7: 1.0, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.6, 2: 0.6, 3: 0.6, 4: 0.4, 5: 0.2, 6: 0.5, 7: 0.6, 8: 0.6, 9: 0.6}",5.2,160
56,"{0: 0.5, 1: 0.3, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.2, 6: 0.4, 7: 0.6, 8: 0.2, 9: 0.4}","{0: 0.740720457761593, 1: 0.760477733535466, 2: 0.777075007240088, 3: 0.9841137862440261, 4: 0.9853304044715349, 5: 0.9931334390925743, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.3, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.2, 6: 0.4, 7: 0.6, 8: 0.2, 9: 0.4}",3.3,150
57,"{0: 0.2, 1: 0.4, 2: 0.2, 3: 0.4, 4: 0.4, 5: 0.6, 6: 0.4, 7: 0.4, 8: 0.4, 9: 0.2}","{0: 0.7600326760761773, 1: 0.7880028256281474, 2: 0.8153545844153374, 3: 0.8048446795891843, 4: 0.9081498393783186, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.4, 2: 0.2, 3: 0.4, 4: 0.4, 5: 0.6, 6: 0.4, 7: 0.4, 8: 0.4, 9: 0.2}",3.6,140
58,"{0: 0.2, 1: 0.3, 2: 0.5, 3: 0.5, 4: 0.6, 5: 0.2, 6: 0.2, 7: 0.3, 8: 0.2, 9: 0.4}","{0: 0.7120866890436293, 1: 0.8034155995432527, 2: 0.7034883723244751, 3: 0.9039946999737576, 4: 0.8590223692622883, 5: 0.8849842908843775, 6: 0.895128705809251, 7: 0.9023966711694817, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.3, 2: 0.5, 3: 0.5, 4: 0.6, 5: 0.2, 6: 0.2, 7: 0.3, 8: 0.2, 9: 0.4}",3.4,130
59,"{0: 0.4, 1: 0.6, 2: 0.3, 3: 0.4, 4: 0.6, 5: 0.6, 6: 0.5, 7: 0.2, 8: 0.4, 9: 0.4}","{0: 0.5731922821963034, 1: 0.6565984425460601, 2: 0.7922802104861187, 3: 0.7312910233645513, 4: 0.7045548999879085, 5: 0.8028663511505991, 6: 0.8369587825785952, 7: 0.7511920856299827, 8: 0.918763131162253, 9: 0.9453726046887923}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.4, 1: 0.6, 2: 0.3, 3: 0.4, 4: 0.6, 5: 0.6, 6: 0.5, 7: 0.2, 8: 0.4, 9: 0.4}",4.4,120
60,"{0: 0.3, 1: 0.4, 2: 0.6, 3: 0.6, 4: 0.6, 5: 0.4, 6: 0.4, 7: 0.6, 8: 0.2, 9: 0.5}","{0: 0.7668602970280569, 1: 0.7682081044404434, 2: 0.7359027791175802, 3: 0.7314882788905043, 4: 0.9529499251723468, 5: 0.8647102173928443, 6: 0.8999131209700333, 7: 0.935477762701152, 8: 0.9840556157773109, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.4, 2: 0.6, 3: 0.6, 4: 0.6, 5: 0.4, 6: 0.4, 7: 0.6, 8: 0.2, 9: 0.5}",4.6,110
61,"{0: 0.5, 1: 0.2, 2: 0.4, 3: 0.2, 4: 0.2, 5: 0.3, 6: 0.5, 7: 0.2, 8: 0.5, 9: 0.2}","{0: 0.5378018533963631, 1: 0.5949040703063817, 2: 0.6007674286192924, 3: 0.6236933114009214, 4: 0.6960540452781735, 5: 0.7093806063813349, 6: 0.8287260500403113, 7: 0.6523748435503252, 8: 0.8708956099248979, 9: 0.9100214603124552}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.2, 2: 0.4, 3: 0.2, 4: 0.2, 5: 0.3, 6: 0.5, 7: 0.2, 8: 0.5, 9: 0.2}",3.2,100
62,"{0: 0.6, 1: 0.3, 2: 0.5, 3: 0.4, 4: 0.5, 5: 0.3, 6: 0.5, 7: 0.6, 8: 0.5, 9: 0.4}","{0: 0.41772986785875366, 1: 0.4404513291275799, 2: 0.4128069125560768, 3: 0.4684507877770224, 4: 0.4759719547478731, 5: 0.6432733940569441, 6: 0.6266029164077345, 7: 0.6675558763646677, 8: 0.6642208496817199, 9: 0.5958437827832951}","{0: False, 1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.0, 1: 0.3, 2: 0.0, 3: 0.4, 4: 0.0, 5: 0.3, 6: 0.5, 7: 0.6, 8: 0.5, 9: 0.4}",3.0,93
63,"{0: 0.3, 1: 0.5, 2: 0.6, 3: 0.3, 4: 0.4, 5: 0.2, 6: 0.6, 7: 0.4, 8: 0.6, 9: 0.3}","{0: 0.44359455215078286, 1: 0.38130420164975565, 2: 0.5013452816079383, 3: 0.47696385819637804, 4: 0.4935238557317709, 5: 0.5710976625243912, 6: 0.5810475976934846, 7: 0.5640708918331947, 8: 0.6633704582973269, 9: 0.5746355697540855}","{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.0, 2: 0.0, 3: 0.3, 4: 0.4, 5: 0.2, 6: 0.0, 7: 0.4, 8: 0.6, 9: 0.3}",2.5,86
64,"{0: 0.4, 1: 0.6, 2: 0.2, 3: 0.6, 4: 0.3, 5: 0.5, 6: 0.3, 7: 0.2, 8: 0.3, 9: 0.5}","{0: 0.41418585243561223, 1: 0.3904162892124487, 2: 0.4435630839312093, 3: 0.3860635756407934, 4: 0.5161834270613588, 5: 0.48209979091981936, 6: 0.4865715683569721, 7: 0.5865210023157238, 8: 0.5202161781376964, 9: 0.5063731194876115}","{0: True, 1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True}","{0: 0.4, 1: 0.0, 2: 0.2, 3: 0.0, 4: 0.3, 5: 0.0, 6: 0.3, 7: 0.2, 8: 0.3, 9: 0.5}",2.2,79
65,"{0: 0.5, 1: 0.5, 2: 0.4, 3: 0.5, 4: 0.2, 5: 0.5, 6: 0.2, 7: 0.2, 8: 0.5, 9: 0.6}","{0: 0.25023547376722866, 1: 0.16813211836401842, 2: 0.33211190487693676, 3: 0.15249433517241828, 4: 0.35363223376999225, 5: 0.2915788985045072, 6: 0.2884109793397426, 7: 0.2782192903817007, 8: 0.33764066022863753, 9: 0.32802072917867753}","{0: False, 1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.2, 5: 0.0, 6: 0.2, 7: 0.2, 8: 0.0, 9: 0.0}",0.6000000000000001,76
66,"{0: 0.3, 1: 0.3, 2: 0.4, 3: 0.5, 4: 0.3, 5: 0.6, 6: 0.2, 7: 0.5, 8: 0.3, 9: 0.3}","{0: 0.26175217698017167, 1: 0.2777803712061118, 2: 0.26630916110827346, 3: 0.29586697911886123, 4: 0.3283288373354658, 5: 0.2416548178439799, 6: 0.27397845495747386, 7: 0.3927754193498436, 8: 0.3783799751410532, 9: 0.3748620250029705}","{0: False, 1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.3, 5: 0.0, 6: 0.2, 7: 0.0, 8: 0.3, 9: 0.3}",1.1,72
67,"{0: 0.6, 1: 0.3, 2: 0.5, 3: 0.6, 4: 0.6, 5: 0.4, 6: 0.3, 7: 0.5, 8: 0.3, 9: 0.3}","{0: 0.1715522049024464, 1: 0.13575030893191492, 2: 0.13238822999028754, 3: 0.1896609023283074, 4: 0.1395151740056919, 5: 0.21741162398518726, 6: 0.1204349793005918, 7: 0.26558711469178614, 8: 0.24632438025917627, 9: 0.24406116616723808}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,72
68,"{0: 0.5, 1: 0.4, 2: 0.6, 3: 0.3, 4: 0.4, 5: 0.2, 6: 0.2, 7: 0.4, 8: 0.2, 9: 0.4}","{0: 0.23303670479182315, 1: 0.2088016515178616, 2: 0.07435960239863364, 3: 0.1107446313266916, 4: 0.1518027164769535, 5: 0.19266836357053993, 6: 0.22556692778171522, 7: 0.17171695179884658, 8: 0.22566264637863453, 9: 0.1868753272353753}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.2, 7: 0.0, 8: 0.2, 9: 0.0}",0.4,70
69,"{0: 0.4, 1: 0.2, 2: 0.4, 3: 0.5, 4: 0.2, 5: 0.5, 6: 0.3, 7: 0.6, 8: 0.3, 9: 0.6}","{0: 0.0, 1: 0.01844611465532643, 2: 0.0004239559937850579, 3: 0.022614932939465177, 4: 0.1274910947324539, 5: 0.03073946977419483, 6: 0.21322892677139163, 7: 0.10967612788729664, 8: 0.09765244834172594, 9: 0.048893162461651665}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,70
70,"{0: 0.6, 1: 0.4, 2: 0.3, 3: 0.2, 4: 0.6, 5: 0.5, 6: 0.3, 7: 0.3, 8: 0.2, 9: 0.5}","{0: 0.07986195076742403, 1: 0.12078010181598706, 2: 0.24871960700156498, 3: 0.12194815410629903, 4: 0.19025058441122156, 5: 0.10366386584504964, 6: 0.1431090315809022, 7: 0.23943425689193207, 8: 0.12558164122517446, 9: 0.2535881910188155}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,70
71,"{0: 0.2, 1: 0.2, 2: 0.6, 3: 0.3, 4: 0.5, 5: 0.3, 6: 0.5, 7: 0.2, 8: 0.4, 9: 0.2}","{0: 0.09584865340905643, 1: 0.1624797120567553, 2: 0.18637438048552518, 3: 0.17572448901525792, 4: 0.07301008781008471, 5: 0.12205179791357354, 6: 0.15292005782745116, 7: 0.1684616510502335, 8: 0.21010426028297916, 9: 0.19484303835231737}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,70
72,"{0: 0.3, 1: 0.6, 2: 0.4, 3: 0.3, 4: 0.6, 5: 0.4, 6: 0.5, 7: 0.5, 8: 0.3, 9: 0.2}","{0: 0.09541118204124954, 1: 0.11117509283797315, 2: 0.11287984405316462, 3: 0.14317387401717435, 4: 0.13507546154971908, 5: 0.12058287386652634, 6: 0.09836010041500279, 7: 0.02306485539496622, 8: 0.1318383291102257, 9: 0.12498631859458259}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,70
73,"{0: 0.4, 1: 0.4, 2: 0.2, 3: 0.5, 4: 0.4, 5: 0.3, 6: 0.4, 7: 0.3, 8: 0.6, 9: 0.4}","{0: 0.1279706507996191, 1: 0.14841125699192337, 2: 0.2657777311006836, 3: 0.2217983351629076, 4: 0.26850713214607347, 5: 0.24650402050566722, 6: 0.25723191309563337, 7: 0.3133143008413479, 8: 0.2512538785533812, 9: 0.29251815823300104}","{0: False, 1: False, 2: True, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.2, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.3, 8: 0.0, 9: 0.0}",0.5,68
74,"{0: 0.5, 1: 0.4, 2: 0.6, 3: 0.6, 4: 0.2, 5: 0.6, 6: 0.6, 7: 0.3, 8: 0.6, 9: 0.2}","{0: 0.2056230013676332, 1: 0.2245196406068864, 2: 0.2637153694030734, 3: 0.2413016837792833, 4: 0.3406573551822025, 5: 0.2457696178336207, 6: 0.2937868347775973, 7: 0.2937742981130259, 8: 0.4007401792854907, 9: 0.3508494579344522}","{0: False, 1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.2, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.2}",0.4,66
75,"{0: 0.2, 1: 0.6, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.5, 6: 0.3, 7: 0.3, 8: 0.5, 9: 0.3}","{0: 0.28741499903414347, 1: 0.39513958751756567, 2: 0.44636267054338535, 3: 0.42608938676409536, 4: 0.49534326259170236, 5: 0.43629887787152677, 6: 0.5527247289239351, 7: 0.6172963196337293, 8: 0.5043035419688944, 9: 0.5202644004589495}","{0: True, 1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.0, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.0, 6: 0.3, 7: 0.3, 8: 0.5, 9: 0.3}",2.3,58
76,"{0: 0.2, 1: 0.2, 2: 0.4, 3: 0.2, 4: 0.5, 5: 0.4, 6: 0.6, 7: 0.4, 8: 0.2, 9: 0.5}","{0: 0.5371139863712435, 1: 0.4574443432317504, 2: 0.48802996923932696, 3: 0.5204020451558005, 4: 0.4927207155518179, 5: 0.5394626092840278, 6: 0.5606401337753404, 7: 0.5979092593624433, 8: 0.6600168587530166, 9: 0.6989138052538878}","{0: True, 1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.2, 2: 0.4, 3: 0.2, 4: 0.0, 5: 0.4, 6: 0.0, 7: 0.4, 8: 0.2, 9: 0.5}",2.5,50
77,"{0: 0.4, 1: 0.2, 2: 0.3, 3: 0.3, 4: 0.4, 5: 0.4, 6: 0.6, 7: 0.5, 8: 0.6, 9: 0.4}","{0: 0.49168308156837637, 1: 0.6209058359516627, 2: 0.5910792062390756, 3: 0.629394395390247, 4: 0.6956974879037163, 5: 0.6359093446397888, 6: 0.7412548654496238, 7: 0.7605459209735917, 8: 0.8069348061858638, 9: 0.8268596076033649}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.4, 1: 0.2, 2: 0.3, 3: 0.3, 4: 0.4, 5: 0.4, 6: 0.6, 7: 0.5, 8: 0.6, 9: 0.4}",4.1,40
78,"{0: 0.6, 1: 0.6, 2: 0.2, 3: 0.6, 4: 0.5, 5: 0.4, 6: 0.6, 7: 0.4, 8: 0.3, 9: 0.2}","{0: 0.6204861820964189, 1: 0.6620662880760596, 2: 0.6937020640220781, 3: 0.7333281889024694, 4: 0.7654756430123221, 5: 0.8930387804501912, 6: 0.9408561208114723, 7: 0.8775365482416716, 8: 0.9006990387910997, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.6, 1: 0.6, 2: 0.2, 3: 0.6, 4: 0.5, 5: 0.4, 6: 0.6, 7: 0.4, 8: 0.3, 9: 0.2}",4.4,30
